iter	Passed	Remaining
0	1438	1437079
1	2479	1237169
2	3491	1160351
3	4391	1093591
4	5328	1060281
5	6181	1023987
6	6987	991171
7	7870	975918
8	8788	967663
9	9585	948934
10	10477	941984
11	11287	929365
12	12114	919740
13	12900	908570
14	13678	898212
15	14457	889166
16	15241	881310
17	16014	873653
18	16792	867023
19	17565	860715
20	18331	854614
21	19116	849810
22	19934	846768
23	20740	843427
24	21526	839530
25	22299	835388
26	23083	831866
27	24104	836763
28	24888	833335
29	25665	829847
30	26529	829246
31	27431	829804
32	28308	829517
33	29094	826636
34	29887	824046
35	30802	824815
36	31686	824701
37	32528	823478
38	33431	823791
39	34258	822213
40	35104	821108
41	35914	819186
42	36757	818067
43	37576	816429
44	38461	816230
45	39292	814896
46	40115	813407
47	41003	813226
48	41915	813498
49	42770	812631
50	43655	812332
51	44507	811402
52	45338	810101
53	46281	810785
54	47213	811219
55	48149	811657
56	49024	811050
57	49985	811829
58	50995	813338
59	52128	816681
60	53096	817332
61	53959	816360
62	54857	815898
63	55706	814701
64	56490	812587
65	57277	810557
66	58057	808469
67	58841	806468
68	59685	805321
69	60504	803848
70	61302	802108
71	62311	803129
72	63115	801483
73	63892	799521
74	64749	798582
75	65582	797348
76	66432	796322
77	67278	795270
78	68080	793700
79	68890	792236
80	69705	790859
81	70501	789268
82	71276	787477
83	72126	786526
84	72925	785024
85	73708	783366
86	74503	781859
87	75344	780840
88	76219	780184
89	77018	778747
90	77855	777702
91	78776	777487
92	79636	776668
93	80431	775222
94	81210	773634
95	81999	772158
96	82824	771040
97	83610	769560
98	84397	768100
99	85191	766725
100	85968	765203
101	86778	763989
102	87556	762507
103	88334	761034
104	89136	759782
105	89921	758393
106	90718	757121
107	91500	755725
108	92359	754979
109	93149	753664
110	94101	753656
111	94876	752231
112	95674	751005
113	96468	749744
114	97251	748416
115	98045	747174
116	98824	745832
117	99611	744551
118	100393	743252
119	101185	742030
120	101981	740842
121	102884	740433
122	103723	739557
123	104508	738301
124	105309	737163
125	106096	735941
126	106885	734729
127	107668	733491
128	108452	732262
129	109255	731170
130	110032	729910
131	110809	728658
132	111586	727410
133	112368	726200
134	113209	725377
135	113985	724141
136	114782	723045
137	115560	721833
138	116354	720729
139	117161	719706
140	117936	718495
141	118719	717333
142	119510	716228
143	120294	715082
144	121092	714028
145	121865	712832
146	122653	711721
147	123473	710809
148	124267	709744
149	125050	708619
150	125849	707592
151	126654	706597
152	127430	705448
153	128215	704355
154	129006	703291
155	129776	702123
156	130575	701116
157	131374	700110
158	132163	699052
159	132950	697991
160	133784	697172
161	134572	696121
162	135349	695014
163	136128	693921
164	136920	692899
165	137716	691900
166	138502	690854
167	139286	689799
168	140068	688739
169	140855	687707
170	141630	686619
171	142407	685543
172	143226	684671
173	144019	683676
174	144802	682638
175	145583	681595
176	146364	680554
177	147163	679597
178	147962	678645
179	148757	677673
180	149531	676608
181	150310	675572
182	151095	674560
183	151870	673511
184	152652	672495
185	153466	671621
186	154253	670633
187	155045	669663
188	155825	668650
189	156618	667689
190	157408	666717
191	158183	665687
192	158968	664701
193	159751	663709
194	160529	662698
195	161312	661711
196	162098	660735
197	162919	659907
198	163839	659475
199	164689	658757
200	165571	658168
201	166430	657481
202	167265	656704
203	168115	655979
204	168976	655299
205	169836	654614
206	170635	653689
207	171460	652869
208	172261	651957
209	173068	651066
210	173924	650363
211	174714	649410
212	175505	648465
213	176291	647500
214	177120	646697
215	177997	646064
216	178796	645149
217	179578	644175
218	180429	643447
219	181375	643059
220	182279	642513
221	183066	641558
222	183844	640570
223	184674	639764
224	185455	638791
225	186228	637791
226	187018	636851
227	187807	635910
228	188594	634961
229	189409	634109
230	190173	633090
231	190949	632109
232	191729	631145
233	192504	630163
234	193284	629203
235	194093	628335
236	194921	627531
237	195712	626607
238	196499	625672
239	197303	624793
240	198081	623834
241	198861	622881
242	199657	621976
243	200426	620993
244	201210	620057
245	202000	619141
246	202780	618193
247	203565	617263
248	204352	616341
249	205175	615527
250	205952	614575
251	206737	613649
252	207541	612779
253	208331	611872
254	209123	610968
255	209909	610048
256	210702	609152
257	211488	608233
258	212274	607318
259	213065	606416
260	213860	605528
261	214700	604767
262	215507	603911
263	216293	602999
264	217090	602120
265	217883	601228
266	218663	600302
267	219476	599465
268	220260	598550
269	221033	597608
270	221810	596677
271	222583	595737
272	223364	594820
273	224159	593940
274	225009	593208
275	225794	592302
276	226587	591417
277	227370	590508
278	228163	589628
279	228944	588713
280	229733	587824
281	230522	586933
282	231310	586041
283	232100	585155
284	232884	584253
285	233677	583375
286	234488	582544
287	235332	581793
288	236116	580895
289	236897	579989
290	237684	579100
291	238461	578186
292	239246	577295
293	240034	576408
294	240837	575561
295	241621	574667
296	242404	573771
297	243182	572866
298	243967	571976
299	244746	571075
300	245597	570341
301	246388	569466
302	247190	568620
303	247977	567738
304	248795	566928
305	249575	566031
306	250353	565131
307	251132	564232
308	251920	563355
309	252762	562601
310	253545	561714
311	254330	560832
312	255117	559954
313	255960	559200
314	256791	558420
315	257592	557574
316	258377	556694
317	259156	555801
318	259937	554914
319	260721	554032
320	261501	553145
321	262284	552263
322	263062	551372
323	263849	550500
324	264633	549623
325	265408	548728
326	266243	547956
327	267031	547088
328	267825	546234
329	268609	545359
330	269394	544487
331	270171	543597
332	270949	542712
333	271729	541832
334	272506	540945
335	273291	540076
336	274064	539184
337	274853	538323
338	275653	537483
339	276491	536719
340	277281	535860
341	278072	535004
342	278859	534142
343	279643	533273
344	280500	532545
345	281397	531889
346	282177	531013
347	282954	530133
348	283742	529272
349	284650	528636
350	285482	527858
351	286324	527097
352	287133	526276
353	287921	525415
354	288701	524541
355	289486	523678
356	290262	522797
357	291048	521935
358	291828	521064
359	292615	520204
360	293408	519357
361	294192	518494
362	294980	517637
363	295766	516778
364	296618	516035
365	297391	515153
366	298172	514286
367	298950	513415
368	299726	512540
369	300497	511658
370	301276	510789
371	302061	509931
372	302855	509089
373	303651	508250
374	304433	507389
375	305214	506526
376	305993	505659
377	306834	504897
378	307640	504075
379	308425	503220
380	309222	502385
381	310019	501550
382	310802	500692
383	311582	499830
384	312371	498982
385	313166	498146
386	313944	497281
387	314739	496444
388	315549	495631
389	316321	494759
390	317174	494014
391	317951	493148
392	318727	492283
393	319548	491488
394	320338	490645
